workload,size,cost
ScalaPageRank_1,71.7367,1.5897815
ScalaPageRank_1,306.1039,2.1078472
ScalaPageRank_1,547.0323,2.8447945
ScalaPageRank_1,812.7284,3.5732051
ScalaPageRank_1,1078.9218,4.0631342
ScalaPageRank_1,1345.4623,4.7088485
ScalaPageRank_1,1612.7737,5.4362052
ScalaPageRank_1,1881.7091,6.4795761
ScalaPageRank_1,2150.8859,7.8960193
ScalaPageRank_1,2420.1633,8.628126
ScalaPageRank_1,2689.4447,9.4983404
ScalaPageRank_1,2958.8615,9.9047842
ScalaPageRank_1,3228.7713,11.3635498
ScalaPageRank_1,3499.37,12.2889569
ScalaPageRank_1,3769.9348,12.813773
ScalaPageRank_1,4040.5816,13.1482636
ScalaPageRank_1,4311.2612,14.2602737
ScalaPageRank_1,4581.9733,15.2617838
ScalaPageRank_1,4852.7729,15.3125398
ScalaPageRank_1,5123.5719,16.82823
NWeightGraphX_1,158.3348,1.5980667
NWeightGraphX_1,301.487,1.6247467
NWeightGraphX_1,478.6912,1.7168722
NWeightGraphX_1,615.8775,1.7346364
NWeightGraphX_1,770.0988,1.9756265
NWeightGraphX_1,939.1814,1.8448087
NWeightGraphX_1,1088.4106,1.9771333
NWeightGraphX_1,1260.2411,2.0498486
NWeightGraphX_1,1372.1463,2.0753031
NWeightGraphX_1,1525.2912,2.0504559
NWeightGraphX_1,1698.5176,2.205519
NWeightGraphX_1,1869.8224,2.0665104
NWeightGraphX_1,2037.9654,2.1223349
NWeightGraphX_1,2141.0083,2.1841919
NWeightGraphX_1,2285.6579,2.1833608
NWeightGraphX_1,2530.259,2.1950095
NWeightGraphX_1,2608.2515,2.0918609
NWeightGraphX_1,2754.3665,2.1508673
NWeightGraphX_1,2907.5117,2.3136998
NWeightGraphX_1,3044.2615,2.3559036
LDA_1,0.0008,1.63E-04
LDA_1,0.0005,1.42E-04
LDA_1,0.0008,1.80E-04
LDA_1,0.001,1.72E-04
LDA_1,0.0013,1.02E-04
LDA_1,0.0008,1.78E-04
LDA_1,0.0005,6.79E-05
LDA_1,0.0008,1.86E-04
LDA_1,0.001,1.33E-04
LDA_1,0.0013,1.82E-04
LDA_1,0.0008,1.62E-04
LDA_1,0.0005,1.79E-04
LDA_1,0.0008,1.82E-04
LDA_1,0.001,1.64E-04
LDA_1,0.0013,1.73E-04
LDA_1,0.0008,1.11E-04
LDA_1,0.0005,1.13E-04
LDA_1,0.0008,1.15E-04
LDA_1,0.001,9.94E-05
LDA_1,0.0013,7.42E-05
LDA_1,0.0008,0.12067
LDA_1,0.0005,0.1163183
LDA_1,0.0008,0.1180142
LDA_1,0.001,0.1225696
LDA_1,0.0013,0.1112482
LDA_1,0.0008,0.1122761
LDA_1,0.0005,0.1027988
LDA_1,0.0008,0.113159
LDA_1,0.001,0.0982294
LDA_1,0.0013,0.1189896
LDA_1,0.0008,0.1048069
LDA_1,0.0005,0.0944497
LDA_1,0.0008,0.1099804
LDA_1,0.001,0.1048165
LDA_1,0.0013,0.108974
LDA_1,0.0008,0.1118639
LDA_1,0.0005,0.1025713
LDA_1,0.0008,0.1068231
LDA_1,0.001,0.1102191
LDA_1,0.0013,0.109652
